2025-11-28T19:13:06.615777400 | RAM (MB): 37 | CPU Load: -1.0
2025-11-28T19:13:08.610598900 | RAM (MB): 40 | CPU Load: -1.0
2025-11-28T19:13:10.614782400 | RAM (MB): 40 | CPU Load: -1.0
2025-11-28T19:13:12.614970500 | RAM (MB): 16 | CPU Load: -1.0
2025-11-28T19:13:14.615182500 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T19:13:16.615096200 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T19:13:18.610386300 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T19:13:20.615288500 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T19:13:22.616830500 | RAM (MB): 20 | CPU Load: -1.0
2025-11-28T19:13:24.615290800 | RAM (MB): 23 | CPU Load: -1.0
2025-11-28T19:13:26.609236700 | RAM (MB): 23 | CPU Load: -1.0
2025-11-28T19:13:28.615198700 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T19:13:30.606982300 | RAM (MB): 26 | CPU Load: -1.0
2025-11-28T19:13:32.614742200 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T19:13:34.614899500 | RAM (MB): 28 | CPU Load: -1.0
2025-11-28T19:13:36.615305700 | RAM (MB): 28 | CPU Load: -1.0
2025-11-28T19:13:38.662539800 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T19:13:40.614880500 | RAM (MB): 29 | CPU Load: -1.0
2025-11-28T19:13:42.615129600 | RAM (MB): 33 | CPU Load: -1.0
2025-11-28T19:13:44.615076300 | RAM (MB): 33 | CPU Load: -1.0
2025-11-28T19:13:46.615129600 | RAM (MB): 35 | CPU Load: -1.0
2025-11-28T19:13:48.606231200 | RAM (MB): 37 | CPU Load: -1.0
2025-11-28T19:13:50.605986300 | RAM (MB): 37 | CPU Load: -1.0
2025-11-28T19:13:52.609850400 | RAM (MB): 38 | CPU Load: -1.0
2025-11-28T19:13:54.608283700 | RAM (MB): 16 | CPU Load: -1.0
2025-11-28T19:13:56.615042800 | RAM (MB): 17 | CPU Load: -1.0
2025-11-28T19:13:58.612421600 | RAM (MB): 18 | CPU Load: -1.0
2025-11-28T19:14:00.611496100 | RAM (MB): 20 | CPU Load: -1.0
2025-11-28T19:14:02.614962500 | RAM (MB): 20 | CPU Load: -1.0
2025-11-28T19:14:04.646748400 | RAM (MB): 20 | CPU Load: -1.0
2025-11-28T19:14:06.615160300 | RAM (MB): 23 | CPU Load: -1.0
2025-11-28T19:14:08.614511 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T19:14:10.613475600 | RAM (MB): 24 | CPU Load: -1.0
2025-11-28T19:14:12.614541700 | RAM (MB): 25 | CPU Load: -1.0
2025-11-28T19:14:14.605287600 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T19:14:16.614791500 | RAM (MB): 27 | CPU Load: -1.0
2025-11-28T19:14:18.610479400 | RAM (MB): 28 | CPU Load: -1.0
2025-11-28T19:14:20.614996100 | RAM (MB): 28 | CPU Load: -1.0
2025-11-28T19:14:22.613192100 | RAM (MB): 31 | CPU Load: -1.0
2025-11-28T19:14:24.614900200 | RAM (MB): 32 | CPU Load: -1.0
2025-11-28T19:14:26.614780700 | RAM (MB): 32 | CPU Load: -1.0
2025-11-28T19:14:28.610720900 | RAM (MB): 32 | CPU Load: -1.0
2025-11-28T19:14:30.614865700 | RAM (MB): 32 | CPU Load: -1.0
